owner,ticker,type,amount,representative,trans_price,response
self,FB,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,251.36000061035156,0
dependent,FB,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,251.36000061035156,0
self,FB,sale_full,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,268.44000244140625,0
self,FB,purchase,"$1,001 - $15,000",Hon. Rohit Khanna,255.30999755859375,0
undisclosed,FB,purchase,"$1,001 - $15,000",Hon. Dean Phillips,205.1000061035156,0
joint,FB,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,224.91000366210935,0
undisclosed,FB,purchase,"$1,001 - $15,000",Hon. Dean Phillips,263.0,0
undisclosed,FB,purchase,"$1,001 - $15,000",Hon. Dean Phillips,249.02000427246097,0
joint,FB,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,310.3900146484375,0
joint,FB,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,342.94000244140625,0
self,FB,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,265.8599853515625,0
self,FB,purchase,"$1,001 - $15,000",Hon. Rohit Khanna,265.8599853515625,0
self,FB,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,269.3900146484375,0
dependent,FB,purchase,"$250,001 - $500,000",Hon. Michael T. McCaul,269.3900146484375,0
self,FB,purchase,"$250,001 - $500,000",Hon. Nancy Pelosi,221.77000427246097,0
self,FB,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,220.63999938964844,0
self,FB,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,220.63999938964844,0
undisclosed,FB,purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,274.19000244140625,0
undisclosed,FB,purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,268.1099853515625,0
undisclosed,FB,purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,273.1600036621094,0
undisclosed,FB,sale_partial,"$1,001 - $15,000",Hon. Gilbert Cisneros,267.0899963378906,0
undisclosed,FB,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,382.0499877929687,0
joint,FB,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,249.8300018310547,0
undisclosed,FB,purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,263.5199890136719,0
