representative,transaction_date,ticker,asset_description,amount,type
Hon. Alan S. Lowenthal,2021-09-17,BLK,BlackRock Inc,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2020-03-16,BRK.B,Berkshire Hathaway Inc. New,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2020-03-13,BSX,Boston Scientific Corporation,"$1,001 -",sale_partial
Hon. Alan S. Lowenthal,2020-03-13,SPCE,"Virgin Galactic Holdings, Inc.","$1,001 -",sale_partial
Hon. Alan S. Lowenthal,2021-01-27,--,Zimmer Biomet Holdings,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2021-02-08,--,Zimmer Biomet Holdings,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-02-08,--,Zimmer Biomet Holdings,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2021-02-04,DD,"DuPont De Nemours, Inc","$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-02-19,--,Celegene Corp,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2021-02-16,--,Outfront Media,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2021-03-15,COLD,Americold Realty Trust Common Shares,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-03-15,COLD,Americold Realty Trust Common Shares,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-03-11,ADBE,Adobe Inc,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2021-03-12,COLD,Americold Realty Trust Common Shares,"$1,001 - $15,000",sale_partial
Hon. Alan S. Lowenthal,2021-03-15,COLD,Americold Realty Trust Common Shares,"$15,001 - $50,000",sale_full
Hon. Alan S. Lowenthal,2021-03-11,NVDA,NVIDIA Corporation,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2021-01-12,GM,General Motors Company,"$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-12,JIH,"Juniper Industrial Holdings, Inc. Class A","$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-14,JIH,"Juniper Industrial Holdings, Inc. Class A","$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-15,JIH,"Juniper Industrial Holdings, Inc. Class A","$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-11,JIH,"Juniper Industrial Holdings, Inc. Class A","$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-12,GM,General Motors Company,"$1,001 - $15,000",purchase
Hon. Alan S. Lowenthal,2021-01-12,JIH,"Juniper Industrial Holdings, Inc. Class A","$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-14,JIH,"Juniper Industrial Holdings, Inc. Class A","$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-11,GIS,General Mills,"$1,001 - $15,000",sale_full
Hon. Alan S. Lowenthal,2021-01-12,GM,General Motors Company,"$1,001 -",purchase
Hon. Alan S. Lowenthal,2021-01-11,TMUS,T-Mobile USA,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-01-15,FB,Facebook Inc,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-01-27,--,Conn St Hsg Fin Auth Hsh Mtg F,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-01-08,--,Indiana Bd Bk Rev,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2021-01-14,FMS,Fresenius Med Care Ag,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2021-01-14,ACGL,Arch Cap Group Ltd,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2021-01-13,ACGL,Arch Cap Group Ltd,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2021-01-05,--,Triborough Brdg & Tunl Auth N,"$1,001 - $15,000",sale_full
