disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd
2021,03/23/2021,2021-03-11,self,NVDA,NVIDIA Corporation,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,False
2021,02/25/2021,2021-01-15,self,FB,Facebook Inc,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2021,02/25/2021,2021-01-15,dependent,FB,Facebook Inc,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,False
2022,02/18/2022,2022-01-25,joint,MSFT,Microsoft Corporation - Call Options $145 strike Expire 09/16/2022,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False
2022,02/18/2022,2022-01-26,joint,NVDA,NVIDIA Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False
2022,02/18/2022,2022-01-31,joint,NVDA,NVIDIA Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False
2022,02/18/2022,2022-01-26,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False
2022,02/18/2022,2022-01-31,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False
2020,09/03/2020,2020-08-07,self,FB,"Facebook, Inc. - Class A",sale_full,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017123.pdf,False
2021,09/08/2021,2021-08-30,,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False
2021,09/08/2021,2021-08-11,,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False
2021,09/08/2021,2021-08-11,,AAPL,Apple Inc,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False
2021,07/15/2021,2021-06-04,joint,TSLA,Tesla Inc,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False
2021,04/16/2021,2021-03-24,dependent,NVDA,Nvidia Corporation,purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217938.pdf,False
2021,04/16/2021,2021-03-24,dependent,NVDA,Nvidia Corp,purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217938.pdf,False
2021,04/16/2021,2021-03-08,self,FB,Facebook Class A,purchase,"$1,001 - $15,000",Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217938.pdf,False
2020,06/15/2020,2020-05-13,,FB,"Facebook, Inc. - Class A",purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016759.pdf,False
2020,03/10/2020,2020-02-25,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016214.pdf,False
2020,03/10/2020,2020-02-26,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016214.pdf,False
2020,03/10/2020,2020-02-27,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016214.pdf,False
2021,04/04/2021,2021-03-23,joint,NVDA,NVIDIA Corporation,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018514.pdf,False
2020,10/28/2020,2020-10-13,self,RUN,Sunrun Inc.,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017590.pdf,False
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017073.pdf,False
